low,high,mean
3.0,3.0,3.0
10.0,16.0,12.3
22.0,48.0,36.6
24.0,37.0,29.7
24.0,77.0,38.7
29.0,84.0,47.3
26.0,51.0,36.9
29.0,92.0,55.8
26.0,64.0,43.9
42.0,95.0,61.5
50.0,106.0,82.8
62.0,109.0,94.0
104.0,138.0,117.8
122.0,200.0,178.3
87.0,200.0,182.8
174.0,200.0,197.2
149.0,200.0,187.8
200.0,200.0,200.0
200.0,200.0,200.0
200.0,200.0,200.0
