low,high,mean,J
8,19,12.2,3.6551693002871333
10,14,11.6,-1.8231260506977194
10,20,14.4,24.036471305022772
9,18,13.8,18.388546367957513
7,25,14.2,22.370330340028904
9,30,16.1,39.937189625480876
10,29,15.1,30.449469542582392
8,23,15.8,36.77901209354154
11,24,16.9,47.14561032479285
12,30,19.5,71.48953919819476
12,31,19.0,66.50231818556965
12,24,17.2,49.68408852598684
7,33,16.2,40.52431850161804
11,33,23.1,104.66698747066398
14,36,24.9,121.38330881397587
9,35,21.2,86.63967774178278
10,48,22.1,94.85518571284632
10,28,18.1,58.256754007768606
10,28,18.0,56.81200578502868
10,34,20.6,81.20721482641514
15,30,21.2,86.7796495532159
9,35,17.8,55.669984849884145
12,33,21.1,85.87410775313029
17,34,24.9,121.04270642633799
9,35,24.7,119.48346575370765
18,41,26.9,139.91790526249136
12,25,16.5,42.91964457212468
8,29,16.6,44.08330511352624
7,36,23.0,103.80692403399601
7,37,23.2,105.39454762126063
13,34,21.7,91.81218330813837
13,41,22.0,94.47038096470078
12,36,24.1,113.85565697062358
8,41,17.9,56.21289782459145
18,39,28.8,157.52270051621423
16,43,21.7,91.2600472702485
11,31,21.2,87.0024604194494
10,24,18.0,57.00394019666353
12,33,25.6,127.47891421093266
6,27,17.0,48.0009178827209
16,32,21.6,90.81680858934101
10,33,24.3,115.84687441247938
14,40,22.2,95.91930071015929
14,39,23.4,107.47400479081554
9,32,18.2,58.845885959217526
13,32,22.6,99.86053243187783
14,45,21.5,89.45524740965938
17,42,26.7,137.57623882291188
11,33,23.0,103.57332760305474
13,50,30.1,169.7662746300345
13,32,22.3,97.21277803252829
19,41,24.9,121.03983669010692
18,48,25.8,129.82149043952
12,40,24.2,114.87813561251353
13,37,25.7,128.64503611912127
13,37,25.7,128.6419074532629
11,38,19.3,69.43978545351729
11,33,22.0,94.33281536191373
9,33,21.3,88.24028250019278
11,36,24.5,117.26174748758099
14,50,21.0,84.618617270627
10,43,22.4,98.04315144472478
13,42,22.4,98.26196571285413
11,36,25.7,128.64969076404637
12,43,22.7,101.01004417735186
15,40,24.6,118.2565901718142
12,43,22.8,101.92386078519094
15,44,23.9,111.63004397522941
11,38,21.2,86.88953644380925
10,42,23.0,103.82297662651236
5,30,19.2,68.37007836672372
9,40,25.6,127.58897886299931
9,39,22.8,101.36271125284834
9,44,24.5,117.43535686810301
13,39,22.1,95.2623448970204
12,54,25.2,124.03563654337954
15,35,25.0,122.34497876937175
