low,high,mean,J
9,18,12.5,6.683183289047494
6,22,13.0,11.344125279478844
9,18,12.4,5.736054918673316
9,13,11.4,-3.6114690519961754
10,20,12.9,10.354527078899517
10,20,13.6,16.942790864846362
9,19,13.0,11.272540622675988
10,30,16.1,39.93048943294055
6,25,14.5,24.969329344239252
9,29,15.9,38.093227456087746
11,32,18.9,65.85446764163626
10,32,23.3,106.78212496197375
9,24,15.4,33.30453474517179
15,34,21.6,90.74155937896714
11,46,26.4,135.2146740848122
11,34,21.4,89.04993832231733
10,40,20.9,84.17924345212646
11,44,21.1,86.12625961424854
11,44,29.4,163.41366777623745
14,44,24.2,115.08124390898044
11,43,23.6,109.53645245642403
12,33,21.3,88.1420166696893
22,52,33.8,204.37205985478755
10,41,24.3,115.92320065308377
9,38,22.4,98.12826278543416
10,42,23.5,108.20618433959726
19,60,37.9,242.3094614872851
6,39,23.3,106.71099840052997
18,41,27.2,142.62828939798524
15,52,30.0,168.76555951433787
11,54,24.0,113.07493944756507
15,34,23.7,110.13905382591733
21,40,28.6,155.66280449411755
12,51,28.1,151.19315963115793
12,31,22.5,98.99046792646197
11,43,27.0,140.958647307473
8,43,25.6,127.6232610834725
16,57,31.4,181.84374262542434
18,39,26.7,138.29341580437728
15,50,28.6,155.88041121794313
18,40,28.5,154.75885230288506
14,47,29.7,165.78665856063802
12,50,26.2,133.15872746323885
17,44,26.2,133.33615898434195
17,43,25.8,129.8334755862006
15,56,29.9,168.01503833745522
11,62,33.9,205.29988121633588
21,44,29.4,163.49335212862425
15,44,26.1,132.26300214467588
8,45,32.1,188.40024236353275
15,48,30.2,170.43814483231907
15,39,23.5,108.42873762955756
16,40,28.9,158.29204748547448
20,40,27.3,143.54078043893034
14,61,28.5,154.7046671027758
12,47,24.6,118.41883985617059
14,42,25.8,129.3489222006654
15,34,26.0,131.67697931116922
18,58,33.9,205.0268216397114
19,37,27.8,148.40408995696924
21,65,35.0,215.3581893255235
19,47,33.3,199.92415188014263
19,34,27.1,142.02456983655935
14,44,28.3,153.17526477957443
17,39,26.2,132.9726715584751
8,34,23.3,106.55094741733558
16,57,30.7,175.32432361041722
15,43,26.2,133.5882565512781
16,39,25.8,129.4202062614736
13,52,26.3,134.39695887442275
17,42,25.4,126.20172119266961
22,40,28.8,157.25684901074706
13,35,24.4,116.71847340181793
10,46,26.0,131.61482348573784
18,40,26.6,137.0992083049237
