low,high,mean,J
9,15,11.6,-1.9102772691705012
10,14,11.9,1.026767368037288
10,22,13.6,16.692889711293702
12,26,14.7,27.03440025399417
9,17,13.4,15.084951371873709
8,16,11.6,-1.8620994379752716
8,28,17.3,51.09982417556417
6,20,12.0,1.860882792859961
13,29,18.5,62.30364801094065
11,26,16.7,45.63449421273428
12,40,23.1,104.95972546231226
13,34,24.3,116.02337213894539
11,28,18.0,57.56651423408738
11,33,22.2,96.9302331318332
4,28,16.3,41.28315353442387
11,44,22.6,100.20399604801173
16,39,24.3,115.95109887750691
15,33,21.9,93.69536821739898
15,35,23.9,112.15752444049501
11,56,25.0,122.64290516918268
10,50,21.0,85.25107711011829
20,40,29.8,166.97650657093013
15,38,25.8,129.77456169509009
12,46,26.1,132.51063833150423
10,46,29.3,162.61388662841586
14,43,26.7,138.10728090883575
7,39,21.3,88.39232368618073
14,32,21.0,84.8604644862601
14,39,23.2,105.23946191845478
11,48,32.7,194.12311591994452
12,40,27.8,148.72775853839556
17,46,23.1,104.6735405583687
16,50,28.6,155.3367599423416
16,33,24.3,115.74808119325628
20,48,30.0,168.65359887121244
15,38,24.1,113.73666290898359
21,42,29.7,165.788621800677
12,37,25.0,122.53426790684239
14,41,26.5,136.3013548960754
12,42,22.4,97.96555709480515
13,39,25.4,126.22539935281338
20,54,30.9,177.55547416548342
15,59,25.2,124.00490294413831
14,54,33.5,201.44954675063886
13,46,24.5,117.61105480428682
15,47,23.1,104.8013164427474
15,37,25.1,123.2811818680772
11,32,22.2,96.07400864588017
14,46,28.5,154.41206303561933
16,46,25.4,126.0696473689632
13,33,23.3,106.5520219613687
14,34,25.6,127.88850749007274
8,43,25.6,127.81643484172909
14,42,22.6,99.66787143365471
17,34,24.8,120.57163102389215
14,41,24.4,116.5854125732139
13,27,18.3,60.237835428885354
18,49,29.4,163.40795493595448
9,39,24.6,118.86944178389365
17,39,26.1,132.954378428624
24,36,29.6,165.27262202812398
18,47,34.7,212.24035364279842
12,32,24.0,112.97883491026626
16,51,27.3,143.79183429271205
21,55,32.6,192.66322728832787
15,41,26.1,132.54935706153432
15,51,30.7,175.01326136514834
16,44,31.1,178.67825656329282
20,61,33.0,196.40490046849473
14,42,27.7,147.4410514351985
13,35,24.2,114.82489715528826
17,44,29.4,163.11366919736108
