low,high,mean,J
9,24,13.7,17.84571900843049
9,17,11.8,0.0613206976466671
8,19,13.0,11.345733881909647
12,23,15.9,38.021337485019366
11,18,13.8,18.58147566551757
10,19,13.0,11.272975072439369
9,19,14.1,21.166578737582245
11,27,17.9,56.26019762349521
10,35,17.9,56.274843605046115
10,28,19.3,69.57050801475847
14,40,23.9,112.31719266432196
14,27,19.9,74.85130931049554
13,36,21.2,87.17174033696217
13,27,18.7,63.76631040224244
10,43,21.1,86.15011818119338
17,34,23.7,109.87841412009406
11,26,17.9,56.08541872030837
12,32,20.7,82.29400434245431
8,36,20.2,77.37362893280695
9,29,18.0,57.373847958295094
7,33,19.4,69.94330827766355
14,32,21.5,89.47608145029108
11,45,24.1,113.98457975156052
12,43,25.3,125.03705732651792
9,45,23.7,109.84448738267179
14,56,27.8,148.384999757783
15,30,20.6,81.52496901035101
10,40,25.1,123.11993511618888
11,51,25.9,131.27647269264207
9,44,22.6,100.00805152090066
12,44,25.3,125.14499269112625
13,35,24.7,119.59652081625275
14,43,23.4,107.2664685926868
12,33,22.4,98.16925149450515
22,55,29.2,161.42086098869586
19,63,27.2,143.03842969155775
13,43,26.1,132.65420550916272
15,48,27.9,149.16345319993883
17,43,25.4,125.7286631723388
15,53,27.1,141.89225581719023
11,56,31.6,183.90204427629328
12,46,22.4,98.14363633162314
16,48,26.1,132.43362167285878
12,42,21.3,87.67440670925882
12,32,23.2,105.79323817570389
22,43,32.0,187.80209880935004
12,25,19.5,70.93146778869641
12,67,28.1,151.21739158443205
21,52,34.3,208.79822299197903
9,42,20.7,82.5011545051487
11,32,23.0,103.58085700949917
13,33,22.9,103.01404762439265
12,46,29.0,159.50494588711425
13,39,26.5,135.82685324718867
12,41,28.4,154.23137547549373
14,36,24.9,121.34729315297743
20,35,28.7,156.44996353840713
16,35,21.9,93.03473322791324
13,32,24.2,114.60531765653005
13,61,32.2,189.1852564458878
16,41,30.3,171.43777676828844
11,50,25.9,130.591969753
11,42,24.4,116.73584067990623
18,41,29.6,165.03080678528292
10,51,32.0,187.19605522865433
11,46,28.2,151.8989925078708
8,50,29.9,167.60223179611728
8,32,22.1,94.88170303681177
9,32,22.2,96.15540570529461
19,52,28.6,155.73329882089183
9,47,25.8,129.85756871610891
10,54,24.2,115.18991283972794
14,48,27.6,146.60524992452852
13,56,31.1,179.252295970865
