low,high,mean,J
8,17,11.5,-2.749281233657014
11,33,15.5,34.336699269937796
11,25,14.7,27.190499385620626
9,24,13.8,18.894196339574826
9,14,11.9,0.8244733467984361
8,18,12.1,2.867565015199614
9,13,10.6,-11.236971343428593
10,24,15.8,37.08273295445174
11,25,14.6,26.107660254436837
8,28,13.4,14.630156103919935
9,24,14.9,28.41159150690637
11,39,19.8,73.90880660584158
13,21,17.1,48.93281711141458
8,24,15.7,35.88702452758492
14,43,21.9,93.6368008861572
9,30,19.9,74.80159516597037
8,26,19.3,69.193384088141
9,72,23.2,105.29204754725018
9,30,18.2,59.08774852236254
7,30,18.7,63.12164613471921
9,42,20.9,84.42792123717663
8,31,20.7,82.0661920028099
13,30,20.5,80.6101983836397
9,46,26.8,138.28400194636214
14,31,21.5,89.94690564918704
16,33,24.6,118.47955200251613
11,29,22.4,98.08773419163995
14,34,23.6,108.98899131810347
15,33,24.2,115.04821761641975
13,32,23.4,107.64186730052782
15,42,25.2,124.25281449766969
10,32,20.8,83.41458143268862
7,41,29.5,163.72048421974705
20,40,27.8,148.44622546036274
12,51,25.9,130.89004080200678
14,45,28.2,151.79412093910355
14,34,23.0,103.57380063068653
8,35,24.9,120.96007047229064
16,44,27.5,145.76948140585077
15,51,25.2,124.07180603289343
20,57,31.3,180.89251640099295
7,49,23.5,108.27536199084527
9,33,20.1,76.7309640103845
16,42,28.4,153.7756680136999
16,31,24.2,114.378230036035
10,38,17.9,56.32926828715828
13,35,26.3,134.32583405606584
14,39,23.8,111.35281081635983
13,31,23.8,110.71635294853832
11,34,27.1,141.8451888848662
14,42,24.6,118.99479820446402
7,40,20.6,81.26283325011337
13,46,25.6,127.65039450263143
15,37,25.5,126.84691690458274
19,56,30.6,174.11920780167802
12,40,23.3,106.12918280866795
19,31,26.4,135.09552180191503
15,33,21.2,86.8744366936279
22,60,32.9,195.55732993682008
17,41,24.8,120.56102004420104
10,44,27.6,146.1465628974278
9,27,21.0,85.06913020973992
16,39,29.3,162.41197659788827
12,43,25.3,124.74358321722983
10,52,26.1,132.61223440238666
15,54,28.6,155.7874712098616
12,39,24.9,121.1464444211935
15,47,28.3,152.46567226929835
