Wall time,Step,Value
1685124962.4710739,1,0.0
1685124962.4781153,3,0.0
1685124962.4862347,5,0.0
1685124962.620592,6,-0.35521697998046875
1685124962.7920406,8,-4.501094341278076
1685124962.8810403,10,-8.636656761169434
1685124962.9250398,11,-9.809584617614746
1685124962.9646463,12,-10.024635314941406
1685124963.0004258,13,-9.611474990844727
1685124963.0305543,14,-9.35572338104248
1685124963.0665917,15,-9.38550853729248
1685124963.101335,16,-9.219337463378906
1685124963.1323361,17,-8.56859016418457
1685124963.1637554,18,-8.396947860717773
1685124963.1977816,19,-8.604731559753418
1685124963.2305448,20,-8.893199920654297
1685124963.2596886,21,-9.0771484375
1685124963.2824614,22,-9.078484535217285
1685124963.337299,24,-8.158793449401855
1685124963.370951,25,-8.2980318069458
1685124963.4235053,27,-6.9129767417907715
1685124963.495432,30,-6.198596954345703
1685124963.523034,31,-5.298129081726074
1685124963.554066,32,-4.844517230987549
1685124963.576649,33,-4.899898529052734
1685124963.6027524,34,-4.946338653564453
1685124963.6530402,36,-3.2654144763946533
1685124963.7349622,39,1.4229412078857422
1685124963.754057,40,2.0208921432495117
1685124963.8014202,42,6.5315446853637695
1685124963.821495,43,5.497128486633301
1685124963.8435795,44,3.2267565727233887
1685124963.8662326,45,3.3415238857269287
1685124963.8861501,46,5.7034735679626465
1685124963.9171858,47,6.257822036743164
1685124963.9612522,49,3.6240792274475098
1685124963.9933279,50,4.782615661621094
1685124964.0884771,53,6.582126617431641
1685124964.1130178,54,4.973734378814697
1685124964.134584,55,0.4133909046649933
1685124964.158664,56,4.194401264190674
1685124964.1887803,57,5.753767967224121
1685124964.2597892,60,6.250875473022461
1685124964.2874172,61,3.191441535949707
1685124964.3140185,62,6.551248073577881
1685124964.3377705,63,5.300622463226318
1685124964.3689787,64,2.6681737899780273
1685124964.3987386,65,5.289796352386475
1685124964.423084,66,8.042224884033203
1685124964.4540296,67,6.370588779449463
1685124964.4780283,68,3.4866995811462402
1685124964.507029,69,8.199287414550781
1685124964.5481548,71,1.9186270236968994
1685124964.5764956,72,8.392845153808594
1685124964.601567,73,7.179171562194824
1685124964.6270897,74,1.3906632661819458
1685124964.664636,76,7.1390862464904785
1685124964.6836693,77,3.8062400817871094
1685124964.7082052,78,6.320594787597656
1685124964.739552,79,7.012538433074951
1685124964.789238,81,11.280740737915039
1685124964.8092582,82,11.115338325500488
1685124964.8592887,84,7.228435039520264
1685124964.898864,85,8.851898193359375
1685124964.932993,86,6.0877604484558105
1685124964.9680388,87,10.863035202026367
1685124964.990039,88,12.662626266479492
1685124965.021039,89,9.214999198913574
1685124965.0681434,91,8.045516967773438
1685124965.090143,92,7.5327653884887695
1685124965.113143,93,10.48896312713623
1685124965.1392775,94,12.32545280456543
1685124965.196825,96,9.52964973449707
1685124965.2772028,99,10.8305082321167
1685124965.3108523,100,11.131291389465332
1685124965.3313644,101,8.227334976196289
1685124965.3493774,102,14.114160537719727
1685124965.3684907,103,12.510601997375488
1685124965.4049785,104,11.271489143371582
1685124965.4380324,105,15.207910537719727
1685124965.4630594,106,10.71761417388916
1685124965.5506718,109,12.942123413085938
1685124965.5712237,110,8.039860725402832
1685124965.653552,113,12.362669944763184
1685124965.7315042,116,12.230334281921387
1685124965.7618856,117,16.095081329345703
1685124965.7814977,118,16.43313980102539
1685124965.8035796,119,14.99444580078125
1685124965.8242273,120,16.742504119873047
1685124965.8513968,121,13.673107147216797
1685124965.9013946,123,14.831626892089844
1685124965.9313967,124,16.496931076049805
1685124965.9549356,125,14.722675323486328
1685124965.9769664,126,18.278091430664062
1685124965.9960046,127,12.384838104248047
1685124966.0482059,129,13.66258430480957
1685124966.0784676,130,12.86849594116211
1685124966.156087,133,17.181873321533203
1685124966.1810844,134,15.493810653686523
1685124966.2442183,136,16.520145416259766
1685124966.2672925,137,15.86506462097168
1685124966.3173878,139,16.871076583862305
1685124966.365437,141,16.427099227905273
1685124966.3904588,142,19.93250274658203
